Date,IE00B84J9L26,IE00BK1KHS51,IE00BRB37Q12,IE00BRB37T43,IE00BYR8FS70,LP68838366,LU0067412154,LU0110450813,LU0154237738,LU0329760770,LU1670722161,LU1670724373,LU1889097876,LU1897340425,LU2286300988,LU2530434740,PTF
2024-09-10,367296.93,285438.6819648,305164.8325446,276700.8582682,38511.659999999996,,90764.79721080001,277382.4378183,142183.737681,155000.4,339888.7181,373935.3072,187814.58667519997,201010.50000000003,72829.9,236815.14,3350738.4874629
2024-09-11,367567.2,285421.43636369996,305606.2848342,276893.2557725,38536.96,,90606.4759394,277756.5352851,142391.5474575,153431.6,339608.7082,375546.1334,188152.49882779998,201715.8,73280.34999999999,236815.14,3353329.9260802
2024-09-12,367567.2,284606.1608572,305013.1912296,276148.720575,38476.240000000005,,90879.412806,277612.1354241,141900.019946,153971.8,339709.7427,375053.45119999995,187385.40368169997,204772.1,74688.9,236146.8,3353931.2784196
2024-09-13,368648.28,284241.4909061,304336.08972479997,275797.177529,38549.61,,90842.2184978,277333.96466520004,141483.659102,154319.6,339810.7772,375406.3654,186618.51277019997,206300.25,74796.15,236592.36,3355076.5057951002
2024-09-16,369188.82,283377.258255,303839.190858,275593.34158370004,38622.979999999996,,90558.4320118,277304.64373169997,141149.5011925,155407.4,340087.9004,375902.5418,186409.9231677,204654.55,75654.15000000001,235924.02,3353674.6530004
2024-09-17,369188.82,283410.1077353,303823.540818,275579.1471857,38668.520000000004,,90553.7678846,277948.0142496,141034.4067685,156043.80000000002,340157.1812,376657.289,186801.6971903,206417.8,75647.0,236369.58,3358300.672032
2024-09-18,368918.55,283387.9153287,303776.28022139997,275522.8476181,38764.659999999996,,90607.3499518,278172.3025971,141117.859582,155607.2,340162.9546,375364.435,187013.0840059,205007.2,75647.0,236146.8,3355216.4389049998
2024-09-19,369729.36,283529.94789209997,304151.42682540003,275684.2491423,38812.729999999996,,93110.7734486,278729.41829129995,141083.82257000002,153690.6,340393.8906,374718.00800000003,186701.0035256,208181.05000000002,75747.09999999999,235701.24,3359964.6202953
2024-09-20,369188.82,283373.51536130003,303553.8350964,275347.9199545,38916.46,,94060.7226904,278150.6183418,140911.7027165,153572.2,340477.60490000003,374323.1634,186536.1261344,207945.95,76476.4,235478.46,3358313.4985953
2024-09-23,369188.82,283768.2722875,303849.7319172,275397.2296347,38789.96,,94140.98353720001,278242.5092229,141049.05986049998,155355.6,340619.0532,373792.045,186829.4750982,208768.80000000002,77820.6,236369.58,3363981.7197582
2024-09-24,369459.09,283396.05743539997,303550.8363468,275139.86959,38881.04,,97711.1384368,278059.7377476,140912.7990595,155999.4,340691.2207,373376.23520000005,186438.27573569998,210179.4,78392.6,235255.68000000002,3367443.3802518
2024-09-25,368648.28,282607.0455208,302306.2088592,274189.503427,38779.840000000004,,99922.49919019999,277361.9287947,140757.042785,155089.2,341845.9007,373509.01479999995,186272.95383389998,211119.80000000002,77634.7,235924.02,3365967.9379108
2024-09-26,368378.01,282584.668912,302233.1837532,274328.2987871,38820.32,,105426.675415,277681.0185009,140720.8742615,155030.0,340699.8808,373379.7294,186282.9673362,216291.99999999997,78056.55,234587.34,3374501.5171659
2024-09-27,368918.55,282927.7481485,302570.56327680004,274674.1811462,38901.28,,111167.051037,277785.09334890003,140562.5618525,154711.8,340803.80199999997,372939.4602,186220.2693163,215939.35,77363.0,235478.46,3380963.1703262
2024-09-30,368648.28,283378.844294,302625.9114102,274916.53951699997,38903.810000000005,,115870.8334306,278191.6111152,140798.420737,154016.19999999998,340913.49659999995,373687.219,186764.18409979998,215821.8,76590.8,235924.02,3387051.9702037997
2024-10-01,368918.55,286042.7305918,305138.86357499997,277432.7477692,38931.64,,116745.75082680001,280232.1345897,141861.5603775,156295.4,340959.6838,374662.1008,188192.4807542,215704.25000000003,77541.75,237706.26,3406365.9030842
2024-10-02,368648.28,286707.69736700004,306027.6419676,278227.7877079,38916.46,,117173.30402100002,281077.6210164,142272.40712000002,157190.8,340985.6641,373599.864,189124.8056963,216409.55,75904.4,237706.26,3409972.5429962
2024-10-03,367837.47,287088.8866664,306078.5803236,278026.600408,38911.4,,117368.24592860001,280941.5954295,142400.23783499998,156391.6,341086.6986,372652.9358,189553.9446392,217585.05000000002,76798.15,237929.04,3410650.4356303
2024-10-04,366486.12,287512.3028687,306277.1616618,278140.4165543,38977.18,,117885.5823206,281573.6140206,142809.2133575,156628.4,340982.7774,371730.467,189986.0630045,218995.65,77241.45,238151.81999999998,3413378.218188
2024-10-07,365675.31,286944.563451,305417.84825579997,277319.977911,38822.85,,117820.3947798,280508.9392332,142402.37894249998,157057.6,341150.206,369312.4806,189207.8310658,219230.74999999997,79436.5,237706.26,3408013.8902391
2024-10-08,365945.57999999996,287240.1515074,305783.3271738,277442.9131044,38924.049999999996,,120826.3248552,280330.1643438,142465.50622850002,155799.6,341066.49169999996,369312.4806,189065.39144839998,218055.25,77649.0,237706.26,3407612.4909615
